"state","year","quarter","txn_type","transactions","amount_inr","atv_inr","period"
"Chhattisgarh",2019,1,"Others",78636,67920032.8018466,863.726954598995,"2019 Q1"
"Chhattisgarh",2019,2,"Peer-to-peer payments",4350167,15410038389.8183,3542.40156523147,"2019 Q2"
"Chhattisgarh",2019,2,"Recharge & bill payments",3435305,855753107.510468,249.105423684496,"2019 Q2"
"Chhattisgarh",2019,2,"Merchant payments",1483870,654411637.016811,441.016825609259,"2019 Q2"
"Chhattisgarh",2019,2,"Financial Services",22563,4237631.55442897,187.813302948587,"2019 Q2"
"Chhattisgarh",2019,2,"Others",98040,77914922.9222788,794.725856000396,"2019 Q2"
"Chhattisgarh",2019,3,"Peer-to-peer payments",5021844,17584630267.7799,3501.62814053561,"2019 Q3"
"Chhattisgarh",2019,3,"Recharge & bill payments",4335851,1069468753.72628,246.657173811157,"2019 Q3"
"Chhattisgarh",2019,3,"Merchant payments",2772084,1074255588.72275,387.526347947158,"2019 Q3"
"Chhattisgarh",2019,3,"Financial Services",16452,4542997.93918032,276.136514659635,"2019 Q3"
"Chhattisgarh",2019,3,"Others",96880,70361559.2853843,726.275384861523,"2019 Q3"
"Chhattisgarh",2019,4,"Peer-to-peer payments",7241974,24112075521.0178,3329.48937969369,"2019 Q4"
"Chhattisgarh",2019,4,"Recharge & bill payments",5112337,1257371454.8604,245.948468354179,"2019 Q4"
"Chhattisgarh",2019,4,"Merchant payments",3852716,1720930747.62856,446.679887027375,"2019 Q4"
"Chhattisgarh",2019,4,"Financial Services",14974,4665759.80424047,311.59074423938,"2019 Q4"
"Chhattisgarh",2019,4,"Others",83757,48745253.9023407,581.98423895723,"2019 Q4"
"Chhattisgarh",2020,1,"Peer-to-peer payments",8109789,28723854868.8469,3541.87450115495,"2020 Q1"
"Chhattisgarh",2020,1,"Recharge & bill payments",6400067,1688995018.2209,263.902708865532,"2020 Q1"
"Chhattisgarh",2020,1,"Merchant payments",4923214,2393811867.38874,486.229497110778,"2020 Q1"
"Chhattisgarh",2020,1,"Financial Services",12424,7378557.22306028,593.895462255335,"2020 Q1"
"Chhattisgarh",2020,1,"Others",78497,46557359.6766012,593.110051041456,"2020 Q1"
"Chhattisgarh",2020,2,"Recharge & bill payments",8366200,2504355746.82854,299.3420844384,"2020 Q2"
"Chhattisgarh",2020,2,"Peer-to-peer payments",7216219,27351810047.6087,3790.32427474952,"2020 Q2"
"Chhattisgarh",2020,2,"Merchant payments",3158417,2361252112.41963,747.606193995166,"2020 Q2"
"Chhattisgarh",2020,2,"Financial Services",19986,17814454.6056348,891.346672952807,"2020 Q2"
"Chhattisgarh",2020,2,"Others",60103,33149845.4388245,551.550595458205,"2020 Q2"
"Chhattisgarh",2020,3,"Peer-to-peer payments",9734445,34661165923.1303,3560.6720180894,"2020 Q3"
"Chhattisgarh",2020,3,"Recharge & bill payments",8705513,2790720003.13734,320.569276404198,"2020 Q3"
"Chhattisgarh",2020,3,"Merchant payments",5591916,3990179454.188,713.562123284398,"2020 Q3"
"Chhattisgarh",2020,3,"Financial Services",34893,39141096.4507023,1121.74638038295,"2020 Q3"
"Chhattisgarh",2020,3,"Others",81772,45538330.6276618,556.893932246512,"2020 Q3"
"Chhattisgarh",2020,4,"Peer-to-peer payments",14257312,50812302052.9527,3563.94684025661,"2020 Q4"
"Chhattisgarh",2020,4,"Merchant payments",11677743,8238390462.20298,705.477973115437,"2020 Q4"
"Chhattisgarh",2020,4,"Recharge & bill payments",9423324,3033918783.20899,321.958449397367,"2020 Q4"
"Chhattisgarh",2020,4,"Financial Services",41308,48082346.0612469,1163.99598289065,"2020 Q4"
"Chhattisgarh",2020,4,"Others",129949,82280639.5226286,633.176396298768,"2020 Q4"
"Chhattisgarh",2021,1,"Peer-to-peer payments",15621154,55638916992.1389,3561.76739517061,"2021 Q1"
"Chhattisgarh",2021,1,"Merchant payments",15222763,10661449529.1096,700.362314588331,"2021 Q1"
